year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	18.7		8.7		291.3		11.4		3.2		-13.3		-5.9		73.2		52.9		63.9		-14.9		0.00		0.02		26.9		24.3		25.6		30.3		28.4		29.2		22.8		18.7		20.6		23.0		15.2		18.4		sni
2018	1	2	18.1		8.0		230.9		11.8		15.4		-13.6		1.4		81.4		50.7		66.2		-7.4		0.00		0.03		25.9		22.4		24.2		28.4		26.9		27.7		22.4		16.8		19.6		23.0		13.8		18.1		sni
2018	1	3	28.6		14.6		287.2		8.6		21.2		2.2		13.8		84.6		53.9		66.8		4.8		0.00		0.03		28.1		25.1		26.6		29.3		27.9		28.6		25.8		21.3		23.7		26.8		19.4		23.2		sni
2018	1	4	18.5		8.0		315.6		8.7		10.0		-5.8		4.5		79.5		56.9		69.2		-3.4		0.00		0.02		26.4		23.4		25.2		28.6		26.9		27.8		23.6		18.5		21.5		24.2		15.8		20.4		sni
2018	1	5	12.7		4.8		173.6		9.9		15.8		-3.9		8.7		84.7		53.8		68.2		0.3		0.00		0.03		28.8		25.0		26.7		29.4		28.1		28.5		26.9		20.9		23.8		29.3		18.1		23.5		sni
2018	1	6	20.6		5.3		145.0		11.6		16.0		-10.4		3.7		87.5		48.5		71.3		-3.8		0.00		0.03		27.1		21.5		24.3		28.2		25.6		27.0		24.9		16.5		20.6		27.0		13.3		19.4		sni
2018	1	7	20.4		10.7		178.4		3.2		35.3		15.7		28.2		95.6		50.4		71.2		19.7		0.21		0.03		30.7		24.7		27.4		30.5		27.1		28.3		30.1		21.3		25.8		32.7		20.8		27.7		sni
2018	1	8	15.9		8.1		255.8		5.1		35.5		29.3		32.9		97.5		81.0		91.7		30.7		0.00		0.02		31.6		30.7		31.3		31.4		30.5		31.1		31.1		30.1		30.6		33.1		32.6		32.8		sni
2018	1	9	18.9		8.2		156.1		4.2		35.8		29.1		32.4		97.9		85.6		93.9		30.8		0.00		0.02		31.8		31.6		31.7		31.7		31.4		31.6		31.1		31.0		31.0		33.5		32.8		32.9		sni
2018	1	10	32.4		15.4		178.2		3.9		57.9		35.7		48.4		97.4		75.1		89.3		45.2		0.05		0.03		39.8		31.8		34.9		34.8		31.6		32.2		40.5		31.1		35.6		45.3		33.2		39.8		sni
2018	1	11	37.3		18.5		240.1		2.0		60.3		11.8		41.7		95.1		69.3		86.1		37.9		0.20		0.02		46.7		33.9		41.0		41.7		34.8		38.2		46.7		32.2		40.6		51.8		31.5		43.4		sni
2018	1	12	31.6		17.7		336.0		4.5		21.2		11.8		16.0		80.0		67.3		74.2		9.3		0.00		0.02		33.9		29.2		31.8		35.9		32.6		33.7		32.2		26.0		29.5		31.5		24.0		28.3		sni
2018	1	13	19.5		8.2		277.3		11.4		19.5		6.9		12.9		84.4		37.4		64.0		2.7		0.00		0.03		31.1		25.7		28.5		32.6		30.9		31.8		30.0		21.8		25.7		31.9		19.9		25.1		sni
2018	1	14	24.7		10.9		147.3		4.9		25.5		6.3		18.2		90.4		50.5		74.1		11.2		0.02		0.02		29.5		24.7		27.1		30.9		29.2		30.1		28.3		20.8		24.8		29.8		19.2		25.1		sni
2018	1	15	31.8		16.6		273.6		10.7		28.4		0.3		13.3		93.5		60.5		75.2		6.9		0.03		0.03		30.0		27.2		29.1		30.8		29.8		30.5		28.2		22.1		26.5		29.4		19.4		26.3		sni
2018	1	16	22.1		10.9		279.3		8.3		11.7		-3.0		3.6		82.5		67.0		72.9		-3.1		0.00		0.02		28.0		25.3		26.6		29.8		28.3		28.9		23.5		19.0		21.2		23.7		16.3		19.6		sni
